,LETRA-s,S,8a9,0,1a7,<,>,!,:,=,(,),;,+,-,*,/,c,.,[,],\n,\t,\s,#,_,{,}
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7_3,7,7,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3_6,0,0,0,0,0,0
3,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3_1,1,1,1,1,1,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
5,9,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3_9,9,9,9,9,9,9
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7,9,9,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3_9,9,9,9,9,9,9
8,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3_1,1,1,1,1,1,1
9,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,3_8,8,8,8,8,8,8
10,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3_2,2,2,2,0,2,2
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
13,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,3_2,2,2,2,2,2,2
14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3_2,2,2,2,2,2,2
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3_2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3_2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3_2,2,2,2,2,2,2
19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3_5,5,5,5,5,5,5